query_id,answer
1,4396 2511 4435 4433 4308 2196 4356 2661 4394 1901
2,3209 1923 4408 2408 4407 4234 4009 1966 4403 4308
3,4396 1909 4234 4308 1958 4328 4045 4431 4367 1954
4,2865 4532 2943 2646 1966 4205 2866 4400 4234 4361
5,4214 4320 4308 4362 2944 2698 4360 4302 3128 4294
6,4309 4523 4520 4377 2214 4208 2037 3735 3736 4324
7,4308 2865 1966 4384 4205 4234 2462 4331 4400 4408
8,1951 4532 4234 4308 3467 4362 4436 3128 4387 4214
9,4227 4290 4534 3483 4214 4451 3995 2698 3478 4548
10,4502 2511 1966 4219 2894 3078 4403 4400 4387 4384
11,2865 1966 2521 2646 4400 4219 4308 4384 2944 1958
12,4400 4308 2964 4234 4389 2865 4384 4532 2696 2943
13,2865 4219 4389 1966 4384 4440 4257 2646 3565 4308
14,4397 3255 2962 4227 2968 2646 4290 4307 4208 4440
15,4361 4234 4384 4219 1966 4406 3169 2943 3470 4419
16,4219 4389 4440 4257 4394 2943 4331 4361 4285 4308
17,2943 2696 4331 3088 4361 4371 4395 3149 4219 4328
18,4219 4408 4308 4403 4361 2408 4358 4362 4328 1954
19,4308 1951 4320 4384 4111 4460 4436 4354 4440 4321
20,2865 1966 4234 4308 2866 2646 4408 4431 2521 4384
21,2698 4214 2943 4308 1951 2646 4384 4366 4361 2665
22,4445 4438 4362 3909 4234 4341 4348 4420 4367 4383
23,4286 4396 4328 4408 1907 1901 4308 4234 3436 4424
24,4389 4219 4440 2943 2521 4361 2646 2865 4257 4234
25,4395 4424 2698 4214 1951 3478 4227 3314 4366 2665
26,4440 3078 3643 4389 2962 1966 4371 4367 4257 2865
27,2865 1966 4219 4440 2646 3056 4389 4504 2521 4308
28,4407 4403 2408 1966 3209 2865 2962 4234 2646 4358
29,1966 2865 2646 3844 4219 4308 4384 4406 4408 2944
30,1951 4322 4319 4436 4320 4010 4321 4308 4286 4366
31,4308 4408 4234 1918 4403 2408 4400 2962 1907 1909
32,2962 4397 4394 4389 4440 4395 4265 4391 4384 3056
33,2865 2646 4440 4389 2866 2521 4219 1966 2943 2944
34,2865 3844 4406 2646 4384 1966 4308 2696 4219 2521
35,4328 4396 1901 1907 4286 4234 4045 4308 2462 4050
36,2865 4384 4219 1966 2646 4509 1958 4532 3567 4504
37,1966 4408 2865 4400 4387 2964 2408 4403 4361 4234
38,1966 4375 3470 4440 2171 3078 4219 4389 4384 2646
39,4045 3467 1951 4234 4208 4360 4218 4362 4321 4328
40,4219 2646 4234 4331 4233 4361 4408 2943 4384 4440
41,4384 4234 4362 2964 4045 2154 2095 4218 4532 4006
42,1966 1958 2964 4387 2865 4234 2646 4308 4389 4504
43,4396 1923 4009 4308 4234 4362 1899 1901 4219 4328
44,2865 1966 4219 3844 4408 2696 3567 4509 4384 4302
45,2865 4406 4219 1966 3844 4384 2696 2646 2521 4308
46,2665 4214 4308 2698 4361 3553 4398 3582 4269 4331
47,4406 4234 4361 4219 2943 4334 4384 3470 4331 4010
48,2865 4219 1966 3056 4440 4389 2646 3470 4504 4395
