query_id,answer
1,4308 4396 2511 4435 1899 1918 4331 4356 2196 1910
2,3209 4009 1923 4408 4403 4234 2964 1909 2408 4308
3,4234 1909 4396 4308 4328 1958 4516 4517 4400 4408
4,2865 4532 4234 2866 4361 4331 4308 2646 4387 2943
5,4308 4360 4424 4409 4214 3743 4321 2944 2698 4436
6,4309 4523 4520 4010 2214 4324 4254 3169 3750 4322
7,4308 4384 4234 4361 1966 2865 4400 4331 4408 2964
8,1951 4234 4308 4532 3128 4321 4286 4218 3467 4208
9,4290 2698 4227 4451 4214 3483 4445 3995 3478 4534
10,4502 4384 4387 4219 4408 2696 2408 4400 2831 2894
11,2865 1966 4308 4504 4400 4532 4408 2521 4219 2944
12,2865 4400 2964 4308 4234 4367 4389 4361 2646 4408
13,2865 4219 4389 4308 4384 2646 4257 4440 4234 1966
14,4397 2962 2968 4227 4320 3255 4436 4290 2232 4266
15,4406 4361 4384 1966 4219 3470 3169 4313 3078 4234
16,4440 4389 4219 4257 4361 4331 4394 4308 2943 2646
17,2943 2696 4308 3149 4408 3088 3055 3689 4205 4395
18,4308 4219 4408 4234 4403 2408 4361 1909 2646 4358
19,2646 4308 1951 4321 4460 4371 4320 4111 4354 2681
20,2865 4308 2866 4234 2964 1966 4532 2521 4400 4408
21,2698 4219 4214 4308 2646 2943 4395 1951 4361 4366
22,4445 4420 4383 3862 4234 4362 4341 4237 2208 2150
23,4396 4286 4328 4308 4408 1907 1909 4395 2949 4424
24,4440 4389 4361 4219 2521 2646 2943 4257 4408 2865
25,2698 4214 4395 1951 4424 4366 4445 4361 4451 2665
26,4440 4389 4371 2646 4257 4261 4326 4219 3128 1966
27,2865 4440 1966 2646 3470 4219 4384 4308 4504 3567
28,2408 4407 4403 4234 1966 4358 2962 3209 2865 4400
29,4308 2865 1966 4400 4387 4219 3844 4408 4234 4384
30,1951 4320 4286 4308 4321 4436 4360 2646 4319 4234
31,4361 4408 1909 4308 4234 4387 2962 1907 4400 4331
32,2962 4397 4394 4389 4440 4391 4265 4257 4294 4258
33,2865 2646 2521 4440 4389 4308 2866 4219 4361 4257
34,2865 4308 4406 3844 2646 4384 1966 4219 4257 4400
35,4396 1909 4328 4408 4308 1907 4286 4234 4395 1951
36,2865 4384 4308 1958 2646 4387 4234 1966 4509 4504
37,4408 1966 4387 2865 4234 4361 4400 2408 1958 4219
38,1966 4440 3470 4219 2646 4313 4408 4389 4400 2964
39,2964 1951 4218 4234 4328 3467 4436 4045 4050 4321
40,4219 2646 4331 4408 4233 4308 4361 2943 4396 4313
41,4384 4362 4435 4045 4218 4234 2196 4204 4431 4214
42,1966 1958 4400 4308 4384 2646 4234 4387 3088 2964
43,4234 4396 4435 1899 1923 4308 4009 1901 4219 4362
44,2865 1966 4219 1958 4509 4308 4384 3844 4508 2696
45,2865 4406 2646 1958 1966 4308 3844 4219 4384 2521
46,4214 2665 4408 2698 4308 4361 3553 4398 4363 1918
47,4406 4361 4322 4334 4219 3470 4384 2646 2943 4010
48,3470 4384 4440 1966 4219 2865 3056 4389 2646 4509
49,4408 1960 4234 4308 4219 2964 4396 4358 1909 4400
50,4458 1951 4234 4328 3467 4218 4321 4360 4436 4045
51,4395 4214 4219 4424 2646 4389 4301 2696 4235 3026
52,4219 4395 4214 2646 4424 4235 4222 4133 4313 4350
53,4408 4234 4361 4219 4308 2511 4389 4358 4331 4504
54,4424 4395 4209 4361 3478 2665 4329 4214 4240 4010
55,1951 4286 4436 4321 4320 4532 3467 4214 4308 4314
56,4234 3088 4153 4045 4308 3209 2408 4408 2964 4396
57,3054 3688 4220 4364 4367 4431 3028 4399 4423 4372
58,2646 4440 4219 1966 4384 3077 4308 4361 3470 4313
59,2865 1966 1958 4406 2646 4308 3844 4219 4384 2521
60,4308 4407 1966 2865 4400 4403 4408 2646 2964 2521
61,4440 4219 2646 4396 4313 4361 4308 2943 4389 4205
62,4219 2865 4408 4384 4400 2964 4234 4308 1966 4504
63,4408 4387 4234 1966 4400 4403 4361 4308 2238 4504
64,1909 1918 4234 1907 4328 4396 4387 4362 4286 4408
65,3128 2217 4299 4008 4371 4248 2942 3786 3777 2896
66,4266 3779 4321 4316 2663 4359 3481 4269 4436 2968
67,4440 4384 4252 4313 4309 4274 2150 4261 4326 3470
68,2661 2663 3595 4008 4243 2217 4545 2221 2942 4515
69,4331 1966 4308 2646 4219 2865 4400 4408 4361 4234
70,4396 4328 4286 4234 1907 3436 2964 1909 3467 4153
71,4435 4219 4440 3265 2943 4322 4308 4010 4204 2646
72,4234 4308 4153 2698 4362 4361 3467 1951 4433 4214
73,4440 2663 3993 4321 2968 4243 2191 3481 3482 4436
74,2865 1966 4308 4219 1958 4384 4400 4387 4406 3844
75,2646 4361 4308 4219 2964 4396 4531 4406 4408 4440
76,1901 4308 4362 4435 4356 4396 4328 3265 2196 4234
77,1909 4400 3088 4396 4387 1958 4111 4362 4308 4408
78,3265 4435 4220 2196 4045 4234 1909 4250 4325 4433
79,2865 1966 3844 4308 4219 2646 1958 4406 2521 4384
80,2902 4266 4269 2962 4220 4354 3861 4243 2405 3995
81,2866 2865 4408 4361 2696 2646 1966 4384 2295 4234
82,4308 2964 4400 4234 1960 4408 4532 1909 4502 2831
83,4361 4408 4234 1951 4396 2964 1958 4532 1909 4362
84,4367 4234 4400 4308 2196 4361 4433 2962 2690 4407
85,2962 4227 4321 4290 4400 2964 2924 2646 4320 4362
86,1951 4321 3467 4320 4308 4436 4234 1958 3090 4366
87,2646 4361 4234 4406 4360 4308 3743 4331 4396 2943
88,1951 4321 4286 4234 4218 4328 4360 4308 3743 2964
89,4321 1951 3467 4234 4360 4286 3743 4214 4320 4436
90,2865 1966 4219 1958 4308 4384 2646 4508 4509 3844
91,4308 1901 2943 4435 4387 1923 4396 3088 2964 2511
92,4431 4367 4435 4218 2964 4204 4214 2698 4362 4309
93,4387 4234 4504 4384 4308 4257 4408 2865 1958 4532
94,4411 3147 4251 3260 2062 4110 2061 4404 2060 2071
95,4328 1951 4286 4396 3467 4308 4321 1907 4234 1901
96,4387 1958 4331 2521 4308 4403 4400 4234 2865 4384
97,4403 1966 2408 4234 4408 4400 4504 2865 4407 1958
98,4436 4234 3128 1951 2964 4308 4321 3643 4045 4328
99,1958 4440 4389 4400 4234 4408 1966 4331 2646 4504
100,3436 4328 4396 4308 4436 4234 2698 1907 1951 3128
101,2865 4308 1966 4408 4532 4400 4234 4331 2964 4219
102,4451 4431 3742 2698 3995 4214 3314 3150 4404 4301
103,4219 4408 2943 4384 2646 4308 4257 4361 4234 4394
104,2865 4308 4219 2646 4389 4257 2521 1966 4440 4408
105,2646 4440 4384 4219 4313 4308 3077 1966 3078 4361
106,4408 4219 4308 4234 2646 4384 4361 4322 2521 2037
107,1918 1909 4286 4354 4302 4328 4399 2944 3419 1907
108,4308 4234 3055 2646 1951 4328 4361 3861 4218 4219
109,2646 4361 4308 4360 4234 3743 4396 1966 4406 4010
110,4219 4308 4408 4234 2521 4322 2646 4331 4010 4328
111,2646 4361 4308 4219 4233 4257 3127 4303 4331 4531
112,4389 2203 2865 1966 2696 4219 4431 4409 2646 4242
113,4153 4045 3265 4308 4046 3088 2964 4050 1951 4446
114,4395 4219 4389 4214 2696 4424 2646 3026 4364 4350
115,4424 4395 4454 4262 4264 4523 4526 2949 1842 4356
116,4219 4308 4257 4389 2943 2646 4361 4234 4440 4408
117,1909 4396 1901 4286 4354 4308 4243 1918 4366 4234
118,4219 4440 4361 4384 4389 2646 4313 4257 2521 2866
119,2646 1966 4219 4384 4440 4308 4313 3077 4395 4361
120,4440 4219 4313 4384 4361 2646 1966 4406 4257 2696
121,4440 3470 4389 4313 4219 2646 4408 4384 4361 4218
122,4451 4366 4243 2213 3774 3995 4290 4227 2665 4214
123,2865 4219 2646 4400 1966 4408 4440 4361 4234 4331
124,1909 4234 4408 1954 4328 4400 4387 1907 2511 4334
125,4440 4219 4389 2521 4257 4361 2943 2646 4408 3056
126,4234 4308 4396 4328 4286 4408 4050 4436 2964 4045
127,2646 4361 3470 4219 4384 4308 2943 4234 2037 3088
128,1966 2865 4308 4400 4408 4234 4331 4532 1958 4219
129,4408 1960 4308 4400 4234 4431 4411 2064 4367 4396
130,4234 4308 2646 4361 2865 4408 4219 4400 1951 4331
131,4202 4440 2220 4371 2696 2894 4375 4005 4310 2915
132,4411 4205 3255 4436 3147 4375 2062 4240 3261 3150
133,4308 4436 1910 3265 4435 4153 4045 4356 4234 2964
134,4328 4366 4367 4220 4286 4234 4302 4356 1909 4445
135,4285 2865 4504 4308 4387 4257 1958 4219 4234 4384
136,2865 2866 1966 4219 3470 4308 4509 4257 4005 2696
137,2408 4403 1909 2511 4408 1954 4407 4286 4362 4358
138,2060 4205 3261 2061 4404 4110 3147 4109 2857 3150
139,4308 4219 2646 2943 4532 4435 4440 4234 4045 4396
140,4395 4219 4214 4424 4389 2646 4440 3026 2865 3056
141,4234 1918 1909 4308 4396 4328 4286 1907 3419 4361
142,2865 1966 2646 1958 4406 3844 4308 4219 4384 4387
143,4308 1951 4321 4320 4436 1901 3743 4360 4366 4361
144,4389 4384 4440 2943 4219 4308 4361 2646 4394 4205
145,4362 1901 4308 2698 4045 4234 4322 4286 2462 4050
146,4436 4361 4308 4321 4286 4408 1958 4320 4331 4045
147,1966 3470 4440 4219 2865 4400 2646 4361 4431 4313
148,2865 4308 4406 3844 2646 4219 1966 2521 2696 4384
149,1966 2865 1958 2646 4400 4384 4219 4387 4234 4308
150,4445 4422 4229 3359 4338 3400 4296 2038 4547 4291
151,1966 2865 2646 4367 4400 4308 4361 4219 4234 4403
152,1966 4219 2865 3470 4440 4509 4361 2646 4234 4257
153,1907 1909 4286 4396 4328 3784 4308 4234 4361 4243
154,4396 4328 1907 4286 4234 3436 1909 4308 4362 3209
155,4234 4361 4403 1958 4408 4400 2408 2831 3209 1966
156,4361 2865 4308 4408 4331 2646 1966 1958 4234 2866
157,4308 2865 4440 4400 4384 1966 2866 4371 2646 4219
158,1951 3467 4321 4320 4328 4436 4286 4366 4234 3861
159,2865 2646 4257 4308 4219 2696 4408 1966 4384 4440
160,1909 4517 4234 4516 1958 2964 3265 3626 4328 4396
161,4214 2665 4363 3553 4398 4408 2698 1923 1881 4269
162,2865 1966 4219 2696 4384 2521 4308 4082 4409 4389
163,3265 4308 2916 4045 4111 4433 4234 3128 2918 4362
164,4234 4367 4400 4308 4361 3006 2964 4407 4204 2795
165,4440 4219 4313 4310 1966 3078 4379 4333 2646 2894
166,4362 1909 4234 4308 4219 2196 4361 3467 4408 3088
167,4400 1966 2865 4308 4219 4234 2831 2964 4384 4408
168,1951 4234 4308 4387 4286 2698 1958 4361 4366 4045
169,2865 4308 1966 4234 4400 4532 2646 4361 2866 2964
170,1958 1966 4234 4361 4504 4387 4408 2865 3844 4406
171,4440 4375 2696 4371 2220 2894 4289 2942 2171 4243
172,2646 4219 4361 4384 4308 4389 4440 4207 2521 4373
173,3128 3643 2696 2220 4440 2279 2663 2886 4379 4371
174,1907 4396 4234 4400 1909 4361 4408 4532 3209 4308
175,4451 4214 4220 2698 4447 4290 4269 4227 4534 4209
176,4361 4219 4394 4440 4331 2521 4308 4257 2646 2943
177,1951 3467 4436 4321 1958 4362 2646 4320 4308 4050
178,2698 4321 4320 4436 1951 4214 4308 4319 4366 4286
179,4220 4423 4364 4436 4321 2917 3028 4318 2908 4372
180,4245 4344 4219 2646 4356 2202 4440 4435 4391 4204
181,4504 4285 4394 4018 4440 2646 4400 4257 3565 4389
182,2646 4361 4219 1951 4322 4257 4303 3055 2865 3689
183,4366 4361 4328 4321 4436 4286 4209 4050 3861 4133
184,4406 3844 1966 2865 4308 4219 2696 4400 4234 4502
185,3128 4320 1951 4436 4321 2911 2232 3469 3643 4235
186,2220 4302 4409 4371 4243 2942 4276 3128 4375 2663
187,2831 4308 4234 4408 4532 2865 4400 4502 1966 4403
188,4234 4400 4308 1966 4361 2865 4387 4408 4219 1958
189,1966 2865 4384 4234 4400 4308 4387 4431 4408 4361
190,4204 4243 4516 3580 4517 4006 2095 3844 4208 4226
191,4532 4321 4360 3743 4286 4234 1951 3149 4361 4045
192,1909 4286 4396 4308 3419 4407 1907 1918 4234 1958
193,4403 1958 4407 2408 4532 4234 3056 4387 4504 4408
194,4328 4234 4286 4396 1951 3467 4321 1909 1923 2511
195,4395 4214 4389 4219 3026 4424 3056 4371 4440 4387
196,4308 1958 4387 4257 2865 4504 4384 4285 4219 4361
197,4384 4219 4308 4361 4257 4440 4389 4321 2220 2943
198,4321 4319 3128 4436 1951 4532 4320 1901 4308 4361
