query_id,answer
1,4396 4308 1918 1901 2222 1899 2943 4331 4362 3088
2,3209 2408 4009 4407 1923 1958 1966 4532 4403 2511
3,4308 4234 3419 4358 4219 4446 3870 4046 3149 4396
4,2865 4532 1966 2866 3006 2943 4406 2696 2831 1951
5,2944 4396 1951 1901 2698 4234 3419 1747 3690 4446
6,3169 4254 4324 2214 3750 3016 4309 2105 2887 3736
7,1966 2865 2831 2521 4361 4205 3149 4403 1958 4333
8,1951 3467 4532 1901 1958 4234 3843 2944 3168 2802
9,3483 4227 4290 2698 4214 3995 4451 2891 4447 3314
10,4403 2894 4508 2696 1954 3261 2892 2521 2242 2831
11,1966 2865 4532 2866 4400 2521 4406 2288 2831 1958
12,4400 2865 4406 2696 1966 4389 2894 2943 2866 2886
13,2865 1966 2646 4219 4361 2866 4406 2408 2943 2521
14,4397 3595 2661 4227 3265 2663 4290 1901 2962 2904
15,4406 3169 1966 4361 3470 2037 4446 3844 2943 4219
16,4394 4361 2943 4219 2521 4406 4331 2865 1958 2646
17,2943 1966 2696 2865 3088 3265 1951 4308 2866 1901
18,4219 2408 4308 4358 4532 2646 4234 2511 4446 4387
19,1951 4308 2646 4111 2665 3078 2698 1918 1901 2902
20,2865 1966 2866 2408 2696 4532 2521 4308 1958 3844
21,2698 4214 1951 2943 4366 2646 2665 1901 4396 3088
22,4445 4242 2208 4362 2150 4348 4420 3623 2154 4335
23,4286 1901 3436 4396 1899 1909 3419 1907 4362 4308
24,4389 2943 2521 4219 2865 4361 2646 2866 1966 3565
25,2698 1951 4214 2665 4451 3478 4532 4009 4209 2944
26,4440 3844 1966 4389 2865 3567 2943 4394 2962 4397
27,2865 1966 3567 2866 2696 2886 2408 2521 4387 2894
28,2408 2865 3006 1909 4403 1918 3168 4400 2944 4205
29,1966 2865 3844 4406 2866 4400 2831 4532 4403 4407
30,1951 4319 4308 3861 4320 2646 4234 2911 4214 2902
31,1958 4358 4308 4403 2408 1909 1918 2831 2511 4400
32,2962 4394 4397 3748 4440 3056 4389 3565 2221 4135
33,2865 2866 1966 4406 2943 2521 2696 2802 4407 2408
34,2865 3844 1966 4406 2696 2408 2521 4361 4400 1958
35,1901 4286 4396 4308 1951 2462 4366 3265 4362 1909
36,2865 1966 3567 4532 1958 4387 2866 2521 4504 2408
37,1966 4387 2865 2408 4403 4219 2943 1958 4400 4532
38,1966 3470 4403 3078 4333 2696 2865 2894 4440 4532
39,3467 1951 4234 2665 1958 4532 4045 2698 3579 3265
40,4219 2646 4233 2943 4361 4308 4446 2698 4331 3169
41,4362 2154 4234 4406 2646 3265 4532 4341 4237 2698
42,1966 1958 4387 2865 4333 4504 4532 4400 4308 2696
43,1923 4009 1901 4362 1899 4219 4234 3265 4308 4396
44,2865 1966 3844 4509 3567 2696 4406 2866 4400 3470
45,4406 2865 1966 3844 2866 4403 2696 2521 1958 2943
46,2665 3553 4398 4214 4009 1923 4308 4358 1918 4331
47,4406 4446 4334 3169 4219 4234 2943 3470 4331 1966
48,2865 1966 3567 2894 2886 2696 2866 4387 2408 3470
49,1960 4408 4358 3419 4400 4328 4396 1899 4308 4502
50,1951 3467 4234 1899 2665 4532 4458 3579 2646 4446
51,4395 2646 3026 4424 3169 2521 4407 4214 1847 3843
52,2646 4395 4384 4214 4424 3077 3026 2698 3078 4219
53,4361 2511 2943 4219 2521 2408 4389 3055 3689 1951
54,4209 3478 3992 4521 4529 4542 2068 4106 4113 2172
55,1951 3467 4532 1901 4446 4502 3168 3132 3843 4514
56,2408 4403 4407 3169 1960 3088 4205 3149 4308 2243
57,4399 2904 2908 2223 2920 2215 4496 3027 3751 2890
58,4219 3077 4384 2646 4361 1966 3078 3470 2696 2865
59,2865 1966 4406 3844 2696 2521 1958 3567 2866 4361
60,1966 2865 4403 4407 2408 2943 2521 2866 1958 4406
61,4219 2646 2943 4389 4440 2171 4205 4331 2220 4308
62,2865 1966 4400 3844 4406 2037 2696 2943 4532 3006
